Question Text,Option A,Option B,Option C,Option D,Correct Option
طبيعة جسيمات بيتا:,أمواج كهرطيسيّة طاقتها عالية جداً.,تطابق نواة الهليوم,إلكترونات عالية السّرعة,تطابق نواة الهدروجين,C
العدد الكتلي A هو,مجموع عددي البروتونات والنيوترونات.,مجموع عددي البروتونات والالكترونات.,عدد النيوترونات فقط.,عدد البروتونات فقط.,A
تكون النسبة  𝑁/𝑍 للعناصر المستقرة ذات الأعداد الذرية الكبيرة,أصغر من 1.,أكبر من 1.,تساوي 1.,تساوي الصفر.,B
كل مما يلي من أنواع التحولات النووية عدا,التحول من النوع ألفا.,التحول من النوع بوزيترون.,الأسر الالكتروني.,التحول من النوع غاما.,D
التحول من النوع بيتا:,يحدث في النوى التي يزيد عددها الذري عن 83.,يحدث في النوى التي تقع تحت حزام الاستقرار نتيجة تحول بروتون إلى نيوترون.,يحدث في النوى التي تقع فوق حزام الاستقرار نتيجة تحول بروتون إلى نيوترون.,يحدث في النوى التي تقع فوق حزام الاستقرار نتيجة تحول نيوترون إلى بروتون.,D
كل مما يلي من خواص جسيمات ألفا عدا:,تحمل شحنتين موجبتين.,نفوذيتها ضعيفة.,تطابق نواة الهليوم.,سرعتها تساوي سرعة الضّوء.,D
تنحرف نحو اللبوس السالب لمكثفة مشحونة:,جسيمات ألفا.,جسيمات بيتا.,أشعة غاما.,النيوترون.,A
نفوذيتها ضعيفة:,جسيمات بيتا.,جسيمات ألفا.,أشعة غاما.," الالكترونات",B
إذا علمت أن عمر النصف لعنصر مشع 5 أيام، احسب الزمن اللازم كي يصبح النشاط الإشعاعي 1/16 ما كان عليه.,10 Days,15 Days,20 Days,25 Days,C
يبلغ عدد النوى في عنصر مشع 32000000 وبعد زمن مقداره 200 ثانية أصبح العدد 8000000 نواة. فيكون عمر النصف يساوي:,50 S,100 S,150 S,200 S,B
التفاعل النووي الذي يحدث في النجوم هو,تفاعل الاندماج النووي.,تفاعل الانشطار النووي.,تفاعل الالتقاط.,تفاعل التطافر.,A
يُعد النيوترون أفضل قذيفة نووية.,لأنه موجود ضمن النواة.,لأنه معتدل الشحنة.,لأن شحنته سالبة.,جميع الإجابات خاطئة.,B
كتلة النواة أصغر من مجموع مكوناتها وهي حرة.,جميع الإجابات خاطئة.,بسبب تحول النقص في الكتلة إلى نيكليونات.,بسبب تحول النقص في الكتلة إلى جسيمات بيتا.,بسبب تحول النقص في الكتلة إلى طاقة منتشرة.,D
من علاقة إينشتاين: ,دلتا M سالبة دوماً، دلتا E موجبة دوماً.,دلتا M موجبة دوماً، دلتا E موجبة دوماً.,دلتا M سالبة دوماً، دلتا E موجبة (إذا كانت طاقة ارتباط) أو سالبة (إذا كانت طاقة منتشرة).,دلتا M سالبة دوماً، دلتا E سالبة دوماً.,C
يتعلق عمر النصف بـ:,درجة الحرارة.,الحالة الفيزيائية للمادة.,نوع العنصر المشع.,الخياران الأول والثاني معاً.,C
علل إطلاق النواة للبوزيترون.,بسبب تحول بروتون إلى نيوترون يستقر داخل النواة، فينطلق البوزيترون خارج النواة.,بسبب تحول بروتون إلى نيوترون يستقر داخل النواة، فينطلق جسيم بيتا خارج النواة.,بسبب تحول نيوترون إلى بروتون يستقر داخل النواة، فينطلق البوزيترون خارج النواة.,جميع الإجابات خاطئة.,A
